BdprotoID,LanguageName,Glottocode,Macro-Area,LanguageFamily,InventoryType,TimeDepthYBP,TimeDepth,Homeland,HomelandSource,MetadataNotes,BibtexKey,Contributor,Checked by
83,Proto-Siouan,siou1252,North America,Siouan,,4000,,,,,RankinEtAl2015,Eitan Grossman,
84,Proto-Finno-Permic,,Eurasia,Uralic,,,,,,,,Lilja Saeboe,
85,Proto-Tanoan,,North America,Tanoan,,,,,,,Hale1967,Eitan Grossman,
86,Proto-Pama-Nyungan,pama1250,Australia,Pama-Nyungan,,,,,,,Alpher2004,Eitan Grossman,
87,Proto-Baltic-Finnic,,Eurasia,Uralic,,,,,,,,Lilja Saeboe,
88,Jabuti,jabu1249,South America,Nuclear-Marco-Je,,,,,,,,,
89,Proto-Tabla-Sentani,nucl1631,Papunesia,Sentanic,,,,Papua,,,GregersonHartzler1987,Hanan Amouyal,
90,Proto-Waikuruan (Guaicuruan),guai1249,South America,Waikuruan (Guaicuruan),,,,,,,,Lilja Saeboe,
91,Proto-Salishan,sali1255,North America,Salishan,,,,,,,,Eitan Grossman,
92,Proto-Khoe,khoe1241,Africa,Khoe-Kwadi,,2000,2000,northeast Kalahari basin,northeast Kalahari basin,,"Vossen1997,GueldemannElderkinYEAR",Eitan Grossman,
93,Proto-Cross River,delt1251,Africa,Benue-Congo,,,,,,,,,
94,Proto-Permic,perm1256,Eurasia,Uralic,,,,,,,,Yoav Yosef,
95,Proto-Paman,pama1251,Australia,Pama-Nyungan,,,,,,,,,
96,Proto-Ugric,NA,Eurasia,Uralic,,,,,,,,Yoav Yosef,
97,Proto-Ob-Ugrian,NA,Eurasia,Uralic,,,,,,,,Yoav Yosef,
98,Proto-Khanty,khan1279,Eurasia,Uralic,,,,,,,,Yoav Yosef,
99,Proto-Mansi,mans1269,Eurasia,Uralic,,,,,,,,Yoav Yosef,
100,Proto-Samoyedic,samo1298,Eurasia,Uralic,,,,,,,,Yoav Yosef,
101,Proto-Semitic,semi1276,"Africa, Eurasia",Afro-Asiatic,,,,,,,,Yoav Yosef,
102,Proto-Eskimo-Aleut,eski1264,North America,Eskimo-Aleut,,,,,,,"Campbell 1997: 108, Bergsland1986",,
103,Proto-Athabaskan,atha1247,North America,Eyak-Athabaskan,,3500,,,,,"Campbell 1997: 112, KraussGolla1981, Kraus1979, CookRice1989",,
104,Proto-Chimakuan,chim1311,North America,Chimakuan,,,,,,,"Campbell 1997: 116, Powell1993",,
105,Proto-Takelman,take1257,North America,Takelman,,,,,,Not a proto-language in Glottolog,"Campbell 1997: 120, Berman 1990, Shipley1970",,
106,Proto-Sahaptian,saha1239,North America,Sahaptian,,,,,,,"Campbell 1997: 120, KinkadeEtAlYEAR",Yoav Yosef,
107,Proto-Pomoan,pomo1273,North America,Pomoan,,5000,,,,,Campbell 1997:124 reff therein,,
108,Proto-Chumashan,chum1262,North America,Chumashan,,,,,,,Campbell 1997: 126,,
109,Proto-Cochimi-Yuman,coch1272,North America,Cochimi-Yuman,,,,,,,Campbell 1997: 127,,
110,Proto-Wintun,wint1259,North America,Wintun,,,,,,,"Shepherd2006, Campbell 1997: 128",,
111,Proto-Miwokan,miwo1275,North America,Miwok-Costanoan,,2500,,,,Split of Eastern and Western Miwok,Campbell 1997: 129. Cahallagan1967,Yoav Yosef,
112,Proto-Costanoan,cost1250,North America,Miwok-Costanoan,,,,,,,Campbell 1997: 129. Cahallagan1967,Yoav Yosef,
113,Proto-Miwok-Costanoan,miwo1274,North America,Miwok-Costanoan,,,,,,,Campbell 1997: 131. Callghan1967,Yoav Yosef,
114,Proto-Yokutsan,yoku1255,North America,Yokutsan,,,,,,,Campbell 1997: 131. Callghan1997,Yoav Yosef,
115,Proto-Uto-Aztecan,utoa1244,North America,Uto-Aztecan,,,,,,,Campbell 1997: 136,Yoav Yosef,
116,Proto-Keresan,kere1287,North America,Keresan,,,,,,,Campbell 1997: 138,,
117,Proto-Kiowa-Tanoan,kiow1266,North America,Kiowa-Tanoan,,,,,,,"Hale1967, Campbell 1997: 139",,
118,Proto-Muskogean,musk1252,North America,Muskogean,,,,,,,Campbell 1997: 147-148,,
119,Proto-Otomanguean,otom1299,North America,Otomanguean,,,,,,,,,
120,Proto-Tequistlatecan,tequ1244,North America,Tequistlecan,,,,,,,,,
121,Proto-Huave,huav1256,North America,Huavean,,,,,,,,,
122,Proto-Mayan,maya1287,North America,Mayan,,,,,,,Campbell & Kaufman 1985,,
123,Proto-Lencan,lenc1239,North America,Lencan,,,,,,,,,
124,Proto-Misumalpan,misu1242,North America,Misumulpan,,,,,,,,,
125,Proto-Chocoan,choc1280,South America,Chocoan,,,,,,,,,
126,Proto-Chibchan,chib1249,South America,Chibchan,,,,,,,,,
127,Proto-Arawakan,araw1281,South America,Arawakan,,,,,,,,,
128,Proto-Witotoan,nucl1659,South America,Huitotoan,,,,,,,,,
129,Proto-Panoan,pano1256,South America,Pano-Tacanan,,,,,,,,,
130,Proto-Tacanan,taca1255,South America,Pano-Tacanan,,,,,,,,,
131,Proto-Matacoan,mata1289,South America,Matacoan,,,,,,,,,
132,Proto-Tupari,tupa1251,South America,Tupian,,,,,,,,,
133,Proto-Guarani,tupi1276,South America,Tupian,,,,,,,,,
134,Proto-Yanomaman,yano1268,South America,Yanomamic,,,,,,,,,
135,Proto-Tibeto-Burman,,Eurasia,Sino-Tibetan,,,,,,,,Lilja Saeboe,
136,Proto-Southern-Cushitic,sout1354,Africa,Afro-Asiatic,,,,,,,,Lilja Saeboe,
137,Proto-Nicobar,nico1262,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
138,Proto-Bahnaric,bahn1264,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
139,Proto-Monic,moni1258,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
140,Proto-Khmeric,khme1253,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
141,Proto-Katuic,katu1271,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
142,Proto-Khasian,khas1268,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
143,Proto-Khmuic,khmu1236,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
144,Proto-Palaungic,pala1352,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
145,Proto-Pearic,pear1246,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
146,Proto-Vietic,viet1250,Eurasia,Austroasiatic,,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
147,Proto-Munda,mund1335,Eurasia,Austroasiatic,consonants,,,,,,sidwellrau2014austroasiatic,Eitan Grossman,
148,Proto-Nilo-Saharan,,Africa,Nilo-Saharan,,,,,,,ehret2001nilosaharan,Lilja Saeboe,
150,Proto-Kimbe,,Papunesia,Austronesian,,,3600-2600,central north coast of New Britain,,,goodenough1997kimbe,Lilja Saeboe,
151,Proto-Nakanai,,Papunesia,Austronesian,,,,,,,,Lilja Saeboe,
152,Proto-Willaumez,,Papunesia,Austronesian,,,,,,,,Lilja Saeboe,
153,Old Egyptian,egyp1246,Africa,Afroasiatic,consonants,,4200,,,,,Eitan Grossman,
154,Proto-Egyptian,,Africa,Afroasiatic,consonants,,5000,,,,,Eitan Grossman,
155,Proto-Palaihnihan,,North America,Palaihnihan,,,,,,,,,
156,Proto-Bungku-Tolaki,,Papunesia,Austronesian,,,,,,,Mead1998,Eitan Grossman,
157,Proto-Kanyara,,Australia,Pama-Nyungan,,,,,,,Austin1981,Eitan Grossman,
158,Proto-Iwaidjan,,Australia,Iwaidjan,,,,,,,MailhammerHarvey2018,Eitan Grossman,
159,Proto-Nyulnyulan,,Australia,Nyulnyulan,,,,,,,StokesMcGregor,Eitan Grossman,
160,Proto-Northwest Semitic,,Eurasia,Afroasiatic,,,,,,,Huehnegard2007,Eitan Grossman,
161,Proto-Eastern-Oceanic,,Papunesia,Austronesian,,,,,,,Geraghty1983,Lilja Saeboe,
162,Proto-Koman,koma1264,Africa,Koman,,,,,,,Bender 1983,Lilja Saeboe,
163,Proto-Zapotec,zapo1436,North America,Otomanguean,,,,,,,Suarez 1973,Lilja Saeboe,
164,Proto Bora-Muinane,bora1263,South America,Boran,,,,"NW Amazon (Columbia, Peru (since 1930s)",NW Amazon (in the region of Caquetá and Putumayo Rivers in Colombia),Could be either bora1263; muin1242,SeifartEcheverri 2015,Layla Schwartz,
165,Proto-Irish,,Eurasia,Indo-European,,,,,,,,,
166,Proto-Gunwinyguan,gunw1250,Australia,Gunwinyguan,,,,,,,,,
