																														
	NUMClassement	APICodeEntier	APICode	SymboleAPI	Ajouter sous Excel	Champ1	Caracteristique	Theme	Type	CoordX	CoordY	NbTot	Selecte	Selecte1	CaractHex	Case 1	Case 2	Case 3	Case 4	Case 5	Case 6	Case 7	Case 8	Case 9	Case 10	Case 11	Case 12	Case 13	Case 14	Case 15
	660	262	RF	Я	Я	voiced uvular fricative	vd uvular fricative		4	74	0724	22	FALSE	FALSE	042F									vd	uvular				fricative	
	661	263	RF9	Яſ	Яſ	pharyngealized voiced uvular fricative	pharzd vd uvular fricative					2	FALSE	FALSE	042F017F				pharzd					vd	uvular				fricative	
	662	264	RFW	Яŵ	Яŵ	labialized voiced uvular fricative	labzd vd uvular fricative					4	FALSE	FALSE	042F0175			labzd						vd	uvular				fricative	
	663	265	RFW9	Яŵſ	Яŵſ	labialized pharyngealized voiced uvular fricative	labzd pharzd vd uvular fricative					2	FALSE	FALSE	042F0175017F			labzd	pharzd					vd	uvular				fricative	
	664	214	H!	ħ	ħ	voiceless pharyngeal fricative	vl phary fricative		4	75	0725	19	FALSE	FALSE	0127									vl	phary				fricative	
	665	171	9	¿	¿	voiced pharyngeal fricative	vd phary fricative		4	76	0726	10	FALSE	FALSE	00BF									vd	phary				fricative	
	666	934		¿'	¿'	voiced pharyngeal ejective fricative	vd phary ejective fricative						FALSE	FALSE	00BF0027									vd	phary		ejective		fricative	
	667	474	h	h	h	voiceless glottal fricative	vl glottal fricative		4	80	0731	279	FALSE	FALSE	0068									vl	glottal				fricative	
	668	475	h*	h·	h·	creaky-voiced voiceless glottal fricative	creaky vl glottal fricative					1	FALSE	FALSE	00680387							creaky		vl	glottal				fricative	
	669	477	hJ!	hĵ	hĵ	palatalized voiceless glottal fricative	palzd vl glottal fricative					1	FALSE	FALSE	00680135				palzd					vl	glottal				fricative	
	670	484	hW!	hŵ	hŵ	labialized voiceless glottal fricative	labzd vl glottal fricative					5	FALSE	FALSE	00680175			labzd						vl	glottal				fricative	
	671	486	hh	Ħ	Ħ	voiced glottal fricative	vd glottal fricative		4	81	0732	16	FALSE	FALSE	0126									vd	glottal				fricative	
	672	945		ħh―	ħh―	voiceless laryngeal fricative	vl lary fricative		4	77	0727		FALSE	FALSE	012700682015									vl	lary				fricative	
	673	935		¿Ħ―	¿Ħ―	voiced laryngeal fricative	vd lary fricative		4	78	0728		FALSE	FALSE	00BF01262015									vd	lary				fricative	
	674	732	pf	Фf―	Фf―	voiceless labiodental affricate	vl labdent affricate		4	92	0903	3	FALSE	FALSE	042400662015									vl	labdent				affricate	
	675	733	pf'	Фf―'	Фf―'	voiceless labiodental ejective affricate	vl labdent ejective affricate					1	FALSE	FALSE	0424006620150027									vl	labdent		ejective		affricate	
	676	734	pfh	Фf―ĥ	Фf―ĥ	voiceless aspirated labiodental affricate	vl aspirate labdent affricate					1	FALSE	FALSE	0424006620150125							aspirate		vl	labdent				affricate	
	677	363	bv	фv―	фv―	voiced labiodental affricate	vd labdent affricate		4	93	0904	3	FALSE	FALSE	044400762015									vd	labdent				affricate	
	678	684	ntDs	n·t·s―·	n·t·s―·	prenasalized voiceless dental sibilant affricate	prenazad vl dental sib affricate					1	FALSE	FALSE	006E00B7007400B70073201500B7								prenazad	vl	dental	sib			affricate	
	679	685	ntDsh	n·t·s―·ĥ	n·t·s―·ĥ	prenasalized voiceless aspirated dental sibilant affricate	prenazad vl aspirate dental sib affricate					1	FALSE	FALSE	006E00B7007400B70073201500B70125							aspirate	prenazad	vl	dental	sib			affricate	
	680	824	tDs	t·s―·	t·s―·	voiceless dental sibilant affricate	vl dental sib affricate		4	94	0909	16	FALSE	FALSE	007400B70073201500B7									vl	dental	sib			affricate	
	681	825	tDs'	t·s―·'	t·s―·'	voiceless dental sibilant ejective affricate	vl dental sib ejective affricate					6	FALSE	FALSE	007400B70073201500B70027									vl	dental	sib	ejective		affricate	
	682	826	tDsJ	t·s―·ĵ	t·s―·ĵ	voiceless palatalized dental sibilant affricate	vl palzd dental sib affricate					1	FALSE	FALSE	007400B70073201500B70135				palzd					vl	dental	sib			affricate	
	683	827	tDsh	t·s―·ĥ	t·s―·ĥ	voiceless aspirated dental sibilant affricate	vl aspirate dental sib affricate					8	FALSE	FALSE	007400B70073201500B70125							aspirate		vl	dental	sib			affricate	
	684	817	tD0	t·Ǿ―·	t·Ǿ―·	voiceless dental affricate	vl dental affricate		4	108	1009	2	FALSE	FALSE	007400B701FE201500B7									vl	dental				affricate	
	685	818	tD0'	t·Ǿ―·'	t·Ǿ―·'	voiceless dental ejective affricate	vl dental ejective affricate					2	FALSE	FALSE	007400B701FE201500B70027									vl	dental		ejective		affricate	
	686	819	tD0h	t·Ǿ―·ĥ	t·Ǿ―·ĥ	voiceless aspirated dental affricate	vl aspirate dental affricate					1	FALSE	FALSE	007400B701FE201500B70125							aspirate		vl	dental				affricate	
	687	394	dDz	d·Z―·	d·Z―·	voiced dental sibilant affricate	vd dental sib affricate		4	95	0910	10	FALSE	FALSE	006400B7005A201500B7									vd	dental	sib			affricate	
	688	665	ndDz	n·d·Z―·	n·d·Z―·	prenasalized voiced dental sibilant affricate	prenazad vd dental sib affricate					2	FALSE	FALSE	006E00B7006400B7005A201500B7								prenazad	vd	dental	sib			affricate	
	689	388	dD6	d·ď―·	d·ď―·	voiced dental affricate	vd dental affricate		4	109	1010	1	FALSE	FALSE	006400B7010F201500B7									vd	dental				affricate	
	690	854	tshh	ts―Ĥ	ts―Ĥ	voiceless alveolar sibilant affricate with-breathy-release	vl alveolar sib affricate wbr					1	FALSE	FALSE	0074007320150124									vl	alveolar	sib			affricate	wbr
	691	71	nts	nts―	nts―	prenasalized voiceless alveolar sibilant affricate	prenazad vl alveolar sib affricate					1	FALSE	FALSE	006E007400732015								prenazad	vl	alveolar	sib			affricate	
	692	131	ts':	ts―'►	ts―'►	long voiceless alveolar sibilant ejective affricate	long vl alveolar sib ejective affricate					2	FALSE	FALSE	007400732015002725BA					long				vl	alveolar	sib	ejective		affricate	
	693	133	ts:	ts―►	ts―►	long voiceless alveolar sibilant affricate	long vl alveolar sib affricate					3	FALSE	FALSE	00740073201525BA					long				vl	alveolar	sib			affricate	
	694	134	tsJ	ts―ĵ	ts―ĵ	palatalized voiceless alveolar sibilant affricate	palzd vl alveolar sib affricate					3	FALSE	FALSE	0074007320150135				palzd					vl	alveolar	sib			affricate	
	695	135	tsW'	ts―ŵ'	ts―ŵ'	labialized voiceless alveolar sibilant ejective affricate	labzd vl alveolar sib ejective affricate					3	FALSE	FALSE	00740073201501750027			labzd						vl	alveolar	sib	ejective		affricate	
	696	136	tsW:	ts―ŵ►	ts―ŵ►	long labialized voiceless alveolar sibilant affricate	long labzd vl alveolar sib affricate					1	FALSE	FALSE	007400732015017525BA			labzd		long				vl	alveolar	sib			affricate	
	697	137	tsWh	ts―ŵĥ	ts―ŵĥ	labialized voiceless aspirated alveolar sibilant affricate	labzd vl aspirate alveolar sib affricate					3	FALSE	FALSE	00740073201501750125			labzd				aspirate		vl	alveolar	sib			affricate	
	698	849	ts	ts―	ts―	voiceless alveolar sibilant affricate	vl alveolar sib affricate		4	96	0911	62	FALSE	FALSE	007400732015									vl	alveolar	sib			affricate	
	699	850	ts'	ts―'	ts―'	voiceless alveolar sibilant ejective affricate	vl alveolar sib ejective affricate					26	FALSE	FALSE	0074007320150027									vl	alveolar	sib	ejective		affricate	
	700	851	ts*	t·s―·	t·s―·	creaky-voiced voiceless alveolar sibilant affricate	creaky vl alveolar sib affricate					1	FALSE	FALSE	00740387007320150387							creaky		vl	alveolar	sib			affricate	
	701	852	ts-	ts―ĝ	ts―ĝ	velarized voiceless alveolar sibilant affricate	velzd vl alveolar sib affricate					1	FALSE	FALSE	007400732015011D				velzd					vl	alveolar	sib			affricate	
	702	853	tsh	ts―ĥ	ts―ĥ	voiceless aspirated alveolar sibilant affricate	vl aspirate alveolar sib affricate					17	FALSE	FALSE	0074007320150125							aspirate		vl	alveolar	sib			affricate	
	703	810	t0	tǾ―	tǾ―	voiceless alveolar affricate	vl alveolar affricate		4	110	1011	2	FALSE	FALSE	007401FE2015									vl	alveolar				affricate	
	704	811	t0h	tǾ―ĥ	tǾ―ĥ	voiceless aspirated alveolar affricate	vl aspirate alveolar affricate					1	FALSE	FALSE	007401FE20150125							aspirate		vl	alveolar				affricate	
	705	28	dzJ	dZ―ĵ	dZ―ĵ	palatalized voiced alveolar sibilant affricate	palzd vd alveolar sib affricate					1	FALSE	FALSE	0064005A20150135				palzd					vd	alveolar	sib			affricate	
	706	416	dz	dZ―	dZ―	voiced alveolar sibilant affricate	vd alveolar sib affricate		4	97	0912	24	FALSE	FALSE	0064005A2015									vd	alveolar	sib			affricate	
	707	417	dz'	dZ―'	dZ―'	voiced alveolar sibilant ejective affricate	vd alveolar sib ejective affricate					1	FALSE	FALSE	0064005A20150027									vd	alveolar	sib	ejective		affricate	
	708	418	dz-	dZ―ĝ	dZ―ĝ	velarized voiced alveolar sibilant affricate	velzd vd alveolar sib affricate					1	FALSE	FALSE	0064005A2015011D				velzd					vd	alveolar	sib			affricate	
	709	672	ndz	ndZ―	ndZ―	prenasalized voiced alveolar sibilant affricate	prenazad vd alveolar sib affricate					5	FALSE	FALSE	006E0064005A2015								prenazad	vd	alveolar	sib			affricate	
	710	419	dzh	d΄Z―΄	d΄Z―΄	breathy-voiced alveolar sibilant affricate	breathy alveolar sib affricate					2	FALSE	FALSE	00640384005A20150384							breathy			alveolar	sib			affricate	
	711	530	htS	ĥt¯∫―	ĥt¯∫―	voiceless preaspirated postalveolar sibilant affricate	vl preasp postalveol sib affricate					1	FALSE	FALSE	0125007400AF222B2015								preasp	vl	postalveol	sib			affricate	
	712	686	ntS	nˉtˉ∫―	nˉtˉ∫―	prenasalized voiceless postalveolar sibilant affricate	prenazad vl postalveol sib affricate					3	FALSE	FALSE	006E02C9007402C9222B2015								prenazad	vl	postalveol	sib			affricate	
	713	687	ntSh	nˉtˉ∫―ĥ	nˉtˉ∫―ĥ	prenasalized voiceless aspirated postalveolar sibilant affricate	prenazad vl aspirate postalveol sib affricate					1	FALSE	FALSE	006E02C9007402C9222B20150125							aspirate	prenazad	vl	postalveol	sib			affricate	
	714	829	tS!	t¯∫―	t¯∫―	voiceless postalveolar sibilant affricate	vl postalveol sib affricate		4	98	0913	188	FALSE	FALSE	007400AF222B2015									vl	postalveol	sib			affricate	
	715	830	tS!'	t¯∫―'	t¯∫―'	voiceless postalveolar sibilant ejective affricate	vl postalveol sib ejective affricate					44	FALSE	FALSE	007400AF222B20150027									vl	postalveol	sib	ejective		affricate	
	716	831	tS!*	t¯·∫―·	t¯·∫―·	creaky-voiced voiceless postalveolar sibilant affricate	creaky vl postalveol sib affricate					3	FALSE	FALSE	007400AF0387222B20150387							creaky		vl	postalveol	sib			affricate	
	717	832	tS!-	t¯∫―ĝ	t¯∫―ĝ	velarized voiceless postalveolar sibilant affricate	velzd vl postalveol sib affricate					1	FALSE	FALSE	007400AF222B2015011D				velzd					vl	postalveol	sib			affricate	
	718	833	tS!h	t¯∫―ĥ	t¯∫―ĥ	voiceless aspirated postalveolar sibilant affricate	vl aspirate postalveol sib affricate					51	FALSE	FALSE	007400AF222B20150125							aspirate		vl	postalveol	sib			affricate	
	719	834	tS':	t¯∫―'►	t¯∫―'►	long voiceless postalveolar sibilant ejective affricate	long vl postalveol sib ejective affricate					2	FALSE	FALSE	007400AF222B2015002725BA					long				vl	postalveol	sib	ejective		affricate	
	720	835	tS:	t¯∫―►	t¯∫―►	long voiceless postalveolar sibilant affricate	long vl postalveol sib affricate					2	FALSE	FALSE	007400AF222B201525BA					long				vl	postalveol	sib			affricate	
	721	836	tSJ	t¯∫―ĵ	t¯∫―ĵ	palatalized voiceless postalveolar sibilant affricate	palzd vl postalveol sib affricate					1	FALSE	FALSE	007400AF222B20150135				palzd					vl	postalveol	sib			affricate	
	722	837	tSJh	t¯∫―ĵĥ	t¯∫―ĵĥ	palatalized voiceless aspirated postalveolar sibilant affricate	palzd vl aspirate postalveol sib affricate					2	FALSE	FALSE	007400AF222B201501350125				palzd			aspirate		vl	postalveol	sib			affricate	
	723	838	tSW	t¯∫―ŵ	t¯∫―ŵ	labialized voiceless postalveolar sibilant affricate	labzd vl postalveol sib affricate					1	FALSE	FALSE	007400AF222B20150175			labzd						vl	postalveol	sib			affricate	
	724	839	tSW'	t¯∫―ŵ'	t¯∫―ŵ'	labialized voiceless postalveolar sibilant ejective affricate	labzd vl postalveol sib ejective affricate					3	FALSE	FALSE	007400AF222B201501750027			labzd						vl	postalveol	sib	ejective		affricate	
	725	840	tSW:	t¯∫―ŵ►	t¯∫―ŵ►	long labialized voiceless postalveolar sibilant affricate	long labzd vl postalveol sib affricate					1	FALSE	FALSE	007400AF222B2015017525BA			labzd		long				vl	postalveol	sib			affricate	
	726	841	tSWh	t¯∫―ŵĥ	t¯∫―ŵĥ	labialized voiceless aspirated postalveolar sibilant affricate	labzd vl aspirate postalveol sib affricate					3	FALSE	FALSE	007400AF222B201501750125			labzd				aspirate		vl	postalveol	sib			affricate	
	727	396	dZ!	dz―	dz―	voiced postalveolar sibilant affricate	vd postalveol sib affricate		4	99	0914	113	FALSE	FALSE	0064007A2015									vd	postalveol	sib			affricate	
	728	397	dZ!'	dz―'	dz―'	voiced postalveolar sibilant ejective affricate	vd postalveol sib ejective affricate					1	FALSE	FALSE	0064007A20150027									vd	postalveol	sib	ejective		affricate	
	729	398	dZ!-	dz―ĝ	dz―ĝ	velarized voiced postalveolar sibilant affricate	velzd vd postalveol sib affricate					1	FALSE	FALSE	0064007A2015011D				velzd					vd	postalveol	sib			affricate	
	730	400	dZJ	dz―ĵ	dz―ĵ	palatalized voiced postalveolar sibilant affricate	palzd vd postalveol sib affricate					1	FALSE	FALSE	0064007A20150135				palzd					vd	postalveol	sib			affricate	
	731	401	dZW	dz―ŵ	dz―ŵ	labialized voiced postalveolar sibilant affricate	labzd vd postalveol sib affricate					2	FALSE	FALSE	0064007A20150175			labzd						vd	postalveol	sib			affricate	
	732	667	ndZ!	nˉdˉz―	nˉdˉz―	prenasalized voiced postalveolar sibilant affricate	prenazad vd postalveol sib affricate					10	FALSE	FALSE	006E02C9006402C9007A2015								prenazad	vd	postalveol	sib			affricate	
	733	399	dZ!h	d΄z―΄	d΄z―΄	breathy-voiced postalveolar sibilant affricate	breathy postalveol sib affricate					7	FALSE	FALSE	00640384007A20150384							breathy			postalveol	sib			affricate	
	734	680	nt.s	ńtS―	ńtS―	prenasalized voiceless retroflex sibilant affricate	prenazad vl retro sib affricate					1	FALSE	FALSE	0144007400532015								prenazad	vl	retro	sib			affricate	
	735	681	nt.sh	ńtS―ĥ	ńtS―ĥ	prenasalized voiceless aspirated retroflex sibilant affricate	prenazad vl aspirate retro sib affricate					1	FALSE	FALSE	01440074005320150125							aspirate	prenazad	vl	retro	sib			affricate	
	736	807	t.s	TS―	TS―	voiceless retroflex sibilant affricate	vl retro sib affricate		4	100	0915	16	FALSE	FALSE	005400532015									vl	retro	sib			affricate	
	737	808	t.s'	TS―'	TS―'	voiceless retroflex sibilant ejective affricate	vl retro sib ejective affricate					3	FALSE	FALSE	0054005320150027									vl	retro	sib	ejective		affricate	
	738	809	t.sh	TS―˙ĥ	TS―˙ĥ	voiceless aspirated retroflex sibilant affricate	vl aspirate retro sib affricate					9	FALSE	FALSE	00540053201502D90125							aspirate		vl	retro	sib			affricate	
	739	804	t.0	TǾ―˙	TǾ―˙	voiceless retroflex affricate	vl retro affricate					1	FALSE	FALSE	005401FE201502D9									vl	retro				affricate	
	740	384	d.z	DZ―˙	DZ―˙	voiced retroflex sibilant affricate	vd retro sib affricate		4	101	0916	1	FALSE	FALSE	0044005A201502D9									vd	retro	sib			affricate	
	741	663	nd.z	ńDź―	ńDź―	prenasalized voiced retroflex sibilant affricate	prenazad vd retro sib affricate					2	FALSE	FALSE	01440044017A2015								prenazad	vd	retro	sib			affricate	
	742	368	cC,	cĆ―	cĆ―	voiceless palatal sibilant affricate	vl palatal sib affricate		4	102	0917	7	FALSE	FALSE	006301062015									vl	palatal	sib			affricate	
	743	369	cC,'	cĆ―'	cĆ―'	voiceless palatal sibilant ejective affricate	vl palatal sib ejective affricate					1	FALSE	FALSE	0063010620150027									vl	palatal	sib	ejective		affricate	
	744	370	cC,h	cĆ―ĥ	cĆ―ĥ	voiceless aspirated palatal sibilant affricate	vl aspirate palatal sib affricate					3	FALSE	FALSE	0063010620150125							aspirate		vl	palatal	sib			affricate	
	745	660	ncC,	ŅcĆ―	ŅcĆ―	prenasalized voiceless palatal sibilant affricate	prenazad vl palatal sib affricate					1	FALSE	FALSE	0145006301062015								prenazad	vl	palatal	sib			affricate	
	746	367	cC	cç―	cç―	voiceless palatal affricate	vl palatal affricate		4	116	1017	12	FALSE	FALSE	006300E72015									vl	palatal				affricate	
	747	371	cCW	cç―ŵ	cç―ŵ	labialized voiceless palatal affricate	labzd vl palatal affricate					1	FALSE	FALSE	006300E720150175			labzd						vl	palatal				affricate	
	748	372	cCh	cç―ĥ	cç―ĥ	voiceless aspirated palatal affricate	vl aspirate palatal affricate					1	FALSE	FALSE	006300E720150125							aspirate		vl	palatal				affricate	
	749	955		cç'	cç'	voiceless palatal ejective affricate	vl palatal ejective affricate						FALSE	FALSE	006300E70027									vl	palatal		ejective		affricate	
	750	412	djz,	JŹ―	JŹ―	voiced sibilant palatal affricate	vd sib palatal affricate		4	103	0918	2	FALSE	FALSE	004A01792015									vd	palatal	sib			affricate	
	751	671	ndjz,	ŅJŹ―	ŅJŹ―	prenasalized voiced palatal sibilant affricate	prenazad vd palatal sib affricate					1	FALSE	FALSE	0145004A01792015								prenazad	vd	palatal	sib			affricate	
	752	410	djjF	JĴ―	JĴ―	voiced palatal affricate	vd palatal affricate		4	117	1018	8	FALSE	FALSE	004A01342015									vd	palatal				affricate	
	753	411	djjFW	JĴ―ŵ	JĴ―ŵ	labialized voiced palatal affricate	labzd vd palatal affricate					1	FALSE	FALSE	004A013420150175			labzd						vd	palatal				affricate	
	754	670	ndjjF	ŅJĴ―	ŅJĴ―	prenasalized voiced palatal affricate	prenazad vd palatal affricate					1	FALSE	FALSE	0145004A01342015								prenazad	vd	palatal				affricate	
	755	123	tlF':	tĽ―'►	tĽ―'►	long voiceless alveolar ejective affricate lateral	long vl alveolar ejective affricate lateral					1	FALSE	FALSE	0074013D2015002725BA					long				vl	alveolar		ejective	lateral	affricate	
	756	124	tlF*	t·Ľ―·	t·Ľ―·	creaky-voiced voiceless alveolar affricate lateral	creaky vl alveolar affricate lateral					1	FALSE	FALSE	00740387013D20150387							creaky		vl	alveolar			lateral	affricate	
	757	125	tlF:	tĽ―►	tĽ―►	long voiceless alveolar affricate lateral	long vl alveolar affricate lateral					1	FALSE	FALSE	0074013D201525BA					long				vl	alveolar			lateral	affricate	
	758	126	tlFW'	tĽ―ŵ'	tĽ―ŵ'	labialized voiceless alveolar ejective affricate lateral	labzd vl alveolar ejective affricate lateral					1	FALSE	FALSE	0074013D201501750027			labzd						vl	alveolar		ejective	lateral	affricate	
	759	127	tlFWh	tĽ―ŵĥ	tĽ―ŵĥ	labialized voiceless aspirated alveolar affricate lateral	labzd vl aspirate alveolar affricate lateral					1	FALSE	FALSE	0074013D201501750125			labzd				aspirate		vl	alveolar			lateral	affricate	
	760	846	tlF	tĽ―	tĽ―	voiceless alveolar affricate lateral	vl alveolar affricate lateral					5	FALSE	FALSE	0074013D2015									vl	alveolar			lateral	affricate	
	761	847	tlF'	tĽ―'	tĽ―'	voiceless alveolar ejective affricate lateral	vl alveolar ejective affricate lateral					9	FALSE	FALSE	0074013D20150027									vl	alveolar		ejective	lateral	affricate	
	762	848	tlFh	tĽ―ĥ	tĽ―ĥ	voiceless aspirated alveolar affricate lateral	vl aspirate alveolar affricate lateral					3	FALSE	FALSE	0074013D20150125							aspirate		vl	alveolar			lateral	affricate	
	763	414	dlF	dŁ―	dŁ―	voiced alveolar affricate lateral	vd alveolar affricate lateral					3	FALSE	FALSE	006401412015									vd	alveolar			lateral	affricate	
	764	590	kL!	kĽ―	kĽ―	voiceless velar affricate lateral	vl velar affricate lateral					1	FALSE	FALSE	006B013D2015									vl	velar			lateral	affricate	
	765	591	kL!'	kĽ―'	kĽ―'	voiceless velar affricate lateral ejective	vl velar affricate lateral ejective					1	FALSE	FALSE	006B013D20150027									vl	velar		ejective	lateral	affricate	
	766	595	kx	kx―	kx―	voiceless velar affricate	vl velar affricate		4	104	0919	1	FALSE	FALSE	006B00782015									vl	velar				affricate	
	767	596	kx':	kx―'►	kx―'►	long voiceless velar ejective affricate	long vl velar ejective affricate					1	FALSE	FALSE	006B00782015002725BA					long				vl	velar		ejective		affricate	
	768	597	kx:	kx―►	kx―►	long voiceless velar affricate	long vl velar affricate					1	FALSE	FALSE	006B0078201525BA					long				vl	velar				affricate	
	769	598	kxWh	kx―ŵĥ	kx―ŵĥ	labialized voiceless aspirated velar affricate	labzd vl aspirate velar affricate					1	FALSE	FALSE	006B0078201501750125			labzd				aspirate		vl	velar				affricate	
	770	599	kxh	kx―ĥ	kx―ĥ	voiceless aspirated velar affricate	vl aspirate velar affricate					2	FALSE	FALSE	006B007820150125							aspirate		vl	velar				affricate	
	771	751	qX	qX―	qX―	voiceless uvular affricate	vl uvular affricate		4	106	0923	4	FALSE	FALSE	007100582015									vl	uvular				affricate	
	772	752	qX'	qX―'	qX―'	voiceless uvular ejective affricate	vl uvular ejective affricate					1	FALSE	FALSE	0071005820150027									vl	uvular		ejective		affricate	
	773	753	qX':	qX―'►	qX―'►	long voiceless uvular ejective affricate	long vl uvular ejective affricate					2	FALSE	FALSE	007100582015002725BA					long				vl	uvular		ejective		affricate	
	774	754	qX9	qX―ſ	qX―ſ	pharyngealized voiceless uvular affricate	pharzd vl uvular affricate					1	FALSE	FALSE	007100582015017F				pharzd					vl	uvular				affricate	
	775	755	qX9'	qX―ſ'	qX―ſ'	pharyngealized voiceless uvular ejective affricate	pharzd vl uvular ejective affricate					1	FALSE	FALSE	007100582015017F0027				pharzd					vl	uvular		ejective		affricate	
	776	756	qX9':	qX―ſ'►	qX―ſ'►	long pharyngealized voiceless uvular ejective affricate	long pharzd vl uvular ejective affricate					1	FALSE	FALSE	007100582015017F002725BA				pharzd	long				vl	uvular		ejective		affricate	
	777	757	qX:	qX―►	qX―►	long voiceless uvular affricate	long vl uvular affricate					1	FALSE	FALSE	00710058201525BA					long				vl	uvular				affricate	
	778	758	qXW	qX―ŵ	qX―ŵ	labialized voiceless uvular affricate	labzd vl uvular affricate					2	FALSE	FALSE	0071005820150175			labzd						vl	uvular				affricate	
	779	759	qXW'	qX―ŵ'	qX―ŵ'	labialized voiceless uvular ejective affricate	labzd vl uvular ejective affricate					1	FALSE	FALSE	00710058201501750027			labzd						vl	uvular		ejective		affricate	
	780	760	qXW9	qX―ŵſ	qX―ŵſ	labialized pharyngealized voiceless uvular affricate	labzd pharzd vl uvular affricate					1	FALSE	FALSE	0071005820150175017F			labzd	pharzd					vl	uvular				affricate	
	781	761	qXW9'	qX―ŵſ'	qX―ŵſ'	labialized pharyngealized voiceless uvular ejective affricate	labzd pharzd vl uvular ejective affricate					1	FALSE	FALSE	0071005820150175017F0027			labzd	pharzd					vl	uvular		ejective		affricate	
	782	992		tr―	tr―	voiceless alveolar affricate trill	vl alveolar affricate trill						FALSE	FALSE	007400722015									vl	alveolar			trill	affricate	
	783	957		ndr―	ndr―	prenasalized voiced alveolar affricate trill	prenazad vd alveolar affricate trill						FALSE	FALSE	006E006400722015								prenazad	vd	alveolar			trill	affricate	
	784	960		dr―	dr―	voiced alveolar affricate trill	vd alveolar affricate trill						FALSE	FALSE	006400722015									vd	alveolar			trill	affricate	
	785	806	t.r	Tr―˙	Tr―˙	voiceless retroflex affricate trill	vl retro affricate trill					1	FALSE	FALSE	00540072201502D9									vl	retro			trill	affricate	
	786	383	d.r	Dr―˙	Dr―˙	voiced retroflex affricate trill	vd retro affricate trill					1	FALSE	FALSE	00440072201502D9									vd	retro			trill	affricate	
	787	494	hlDF	Ľ·	Ľ·	voiceless dental lateral-fricative	vl dental laterfricativ		4	138	1209	1	FALSE	FALSE	013D00B7									vl	dental				laterfricativ	
	788	495	hlDF:	Ľ·►	Ľ·►	long voiceless dental lateral-fricative	long vl dental laterfricativ					1	FALSE	FALSE	013D00B725BA					long				vl	dental				laterfricativ	
	789	496	hlDFJ	Ľ·ĵ	Ľ·ĵ	palatalized voiceless dental lateral-fricative	palzd vl dental laterfricativ					1	FALSE	FALSE	013D00B70135				palzd					vl	dental				laterfricativ	
	790	497	hlDFJ'	Ľ·ĵ'	Ľ·ĵ'	palatalized voiceless dental lateral-fricative ejective	palzd vl dental laterfricativ ejective					1	FALSE	FALSE	013D00B701350027				palzd					vl	dental		ejective		laterfricativ	
	791	611	lDF	Ł·	Ł·	voiced dental lateral-fricative	vd dental laterfricativ		4	139	1210	1	FALSE	FALSE	014100B7									vd	dental				laterfricativ	
	792	612	lDFJ	Ł·ĵ	Ł·ĵ	palatalized voiced dental lateral-fricative	palzd vd dental laterfricativ					1	FALSE	FALSE	014100B70135				palzd					vd	dental				laterfricativ	
	793	41	hlF'	Ľ'	Ľ'	voiceless alveolar lateral-fricative ejective	vl alveolar laterfricativ ejective					2	FALSE	FALSE	013D0027									vl	alveolar		ejective		laterfricativ	
	794	42	hlF:	Ľ►	Ľ►	long voiceless alveolar lateral-fricative	long vl alveolar laterfricativ					2	FALSE	FALSE	013D25BA					long				vl	alveolar				laterfricativ	
	795	44	hlFW	Ľŵ	Ľŵ	labialized voiceless alveolar lateral-fricative	labzd vl alveolar laterfricativ					1	FALSE	FALSE	013D0175			labzd						vl	alveolar				laterfricativ	
	796	45	hlFW:	Ľŵ►	Ľŵ►	long labialized voiceless alveolar lateral-fricative	long labzd vl alveolar laterfricativ					1	FALSE	FALSE	013D017525BA			labzd		long				vl	alveolar				laterfricativ	
	797	498	hlF	Ľ	Ľ	voiceless alveolar lateral-fricative	vl alveolar laterfricativ		4	140	1211	22	FALSE	FALSE	013D									vl	alveolar				laterfricativ	
	798	499	hlFJ	Ľĵ	Ľĵ	palatalized voiceless alveolar lateral-fricative	palzd vl alveolar laterfricativ					1	FALSE	FALSE	013D0135				palzd					vl	alveolar				laterfricativ	
	799	614	lF	Ł	Ł	voiced alveolar lateral-fricative	vd alveolar laterfricativ		4	141	1212	8	FALSE	FALSE	0141									vd	alveolar				laterfricativ	
	800	615	lFJ	Łĵ	Łĵ	palatalized voiced alveolar lateral-fricative	palzd vd alveolar laterfricativ					1	FALSE	FALSE	01410135				palzd					vd	alveolar				laterfricativ	
	801	604	l.F	Ł˙	Ł˙	voiced retroflex lateral-fricative	vd retro laterfricativ		4	143	1216	1	FALSE	FALSE	014102D9									vd	retro				laterfricativ	
	802	478	hL!F	L°»	L°»	voiceless velar lateral-fricative	vl velar laterfricativ		4	144	1219	1	FALSE	FALSE	004C00B000BB									vl	velar				laterfricativ	
	803	533	hxlF	xĽ―	xĽ―	voiceless velar-alveolar lateral-fricative	vl velalveo laterfricativ		4	145	1221	1	FALSE	FALSE	0078013D2015									vl	velalveo				laterfricativ	
	804	493	hlD	l·°	l·°	voiceless dental lateral-approximant	vl dental laterapprox		4	146	1309	1	FALSE	FALSE	006C00B700B0									vl	dental				laterapprox	
	805	413	dlD	d·l―·	d·l―·	voiced prestopped dental lateral-approximant	vd pstop dental laterapprox					1	FALSE	FALSE	006400B7006C201500B7								pstop	vd	dental				laterapprox	
	806	608	lD	l·	l·	voiced dental lateral-approximant	vd dental laterapprox		4	147	1310	34	FALSE	FALSE	006C00B7									vd	dental				laterapprox	
