								
	CodeStat	NomValeurStat	SelecteSup	SelecteInf	Selecte1Sup	Selecte1Inf		NomValeurStat Anglais
	3954	affricate glottalized	0	0	0	0		
	3955	affricate labialized	0	0	0	0		
	3956	affricate lateral-release	0	0	0	0		
	3957	affricate long	0	0	0	0		
	3958	affricate nasal-release	0	0	0	0		
	3959	affricate palatalized	0	0	0	0		
	3960	affricate pharyngealized	0	0	0	0		
	3961	affricate preaspirated	0	0	0	0		
	3962	affricate preglottalized	0	0	0	0		
	3963	affricate prenasalized	0	0	0	0		
	3964	affricate prestopped	0	0	0	0		
	3965	affricate sibilant	0	0	0	0		
	3966	affricate velar-fricated	0	0	0	0		
	3967	affricate velarized	0	0	0	0		
	3968	affricate voiced	0	0	0	0		
	3969	affricate voiceless	0	0	0	0		
	3970	affricate with-breathy-release	0	0	0	0		
	4000	affricate trill	0	0	0	0		
	4001	affricate trill bilabial	0	0	0	0		
	4002	affricate trill labiodental	0	0	0	0		
	4003	affricate trill labial-palatal	0	0	0	0		
	4004	affricate trill labial-velar	0	0	0	0		
	4005	affricate trill dental	0	0	0	0		
	4006	affricate trill alveolar	0	0	0	0		
	4007	affricate trill postalveolar	0	0	0	0		
	4008	affricate trill retroflex	0	0	0	0		
	4009	affricate trill palatal	0	0	0	0		
	4010	affricate trill velar	0	0	0	0		
	4011	affricate trill velar-alveolar	0	0	0	0		
	4012	affricate trill uvular	0	0	0	0		
	4013	affricate trill pharyngeal	0	0	0	0		
	4014	affricate trill epiglottal	0	0	0	0		
	4015	affricate trill glottal	0	0	0	0		
	4016	affricate trill laryngeal	0	0	0	0		
	4050	affricate trill aspirated	0	0	0	0		
	4051	affricate trill breathy-voiced	0	0	0	0		
	4052	affricate trill creaky-voiced	0	0	0	0		
	4053	affricate trill ejective	0	0	0	0		
	4054	affricate trill glottalized	0	0	0	0		
	4055	affricate trill labialized	0	0	0	0		
	4056	affricate trill lateral-release	0	0	0	0		
	4057	affricate trill long	0	0	0	0		
	4058	affricate trill nasal-release	0	0	0	0		
	4059	affricate trill palatalized	0	0	0	0		
	4060	affricate trill pharyngealized	0	0	0	0		
	4061	affricate trill preaspirated	0	0	0	0		
	4062	affricate trill preglottalized	0	0	0	0		
	4063	affricate trill prenasalized	0	0	0	0		
	4064	affricate trill prestopped	0	0	0	0		
	4065	affricate trill sibilant	0	0	0	0		
	4066	affricate trill velar-fricated	0	0	0	0		
	4067	affricate trill velarized	0	0	0	0		
	4068	affricate trill voiced	0	0	0	0		
	4069	affricate trill voiceless	0	0	0	0		
	4070	affricate trill with-breathy-release	0	0	0	0		
	4100	lateral fricative	0	0	0	0		
	4101	lateral fricative bilabial	0	0	0	0		
	4102	lateral fricative labiodental	0	0	0	0		
	4103	lateral fricative labial-palatal	0	0	0	0		
	4104	lateral fricative labial-velar	0	0	0	0		
	4105	lateral fricative dental	0	0	0	0		
	4106	lateral fricative alveolar	0	0	0	0		
	4107	lateral fricative postalveolar	0	0	0	0		
	4108	lateral fricative retroflex	0	0	0	0		
	4109	lateral fricative palatal	0	0	0	0		
	4110	lateral fricative velar	0	0	0	0		
	4111	lateral fricative velar-alveolar	0	0	0	0		
	4112	lateral fricative uvular	0	0	0	0		
	4113	lateral fricative pharyngeal	0	0	0	0		
	4114	lateral fricative epiglottal	0	0	0	0		
	4115	lateral fricative glottal	0	0	0	0		
	4116	lateral fricative laryngeal	0	0	0	0		
	4150	lateral fricative aspirated	0	0	0	0		
	4151	lateral fricative breathy-voiced	0	0	0	0		
	4152	lateral fricative creaky-voiced	0	0	0	0		
	4153	lateral fricative ejective	0	0	0	0		
	4154	lateral fricative glottalized	0	0	0	0		
	4155	lateral fricative labialized	0	0	0	0		
	4156	lateral fricative lateral-release	0	0	0	0		
	4157	lateral fricative long	0	0	0	0		
	4158	lateral fricative nasal-release	0	0	0	0		
	4159	lateral fricative palatalized	0	0	0	0		
	4160	lateral fricative pharyngealized	0	0	0	0		
	4161	lateral fricative preaspirated	0	0	0	0		
	4162	lateral fricative preglottalized	0	0	0	0		
	4163	lateral fricative prenasalized	0	0	0	0		
	4164	lateral fricative prestopped	0	0	0	0		
	4165	lateral fricative sibilant	0	0	0	0		
	4166	lateral fricative velar-fricated	0	0	0	0		
	4167	lateral fricative velarized	0	0	0	0		
	4168	lateral fricative voiced	0	0	0	0		
	4169	lateral fricative voiceless	0	0	0	0		
	4170	lateral fricative with-breathy-release	0	0	0	0		
	4200	lateral approximant	0	0	0	0		
	4201	lateral approximant bilabial	0	0	0	0		
	4202	lateral approximant labiodental	0	0	0	0		
	4203	lateral approximant labial-palatal	0	0	0	0		
	4204	lateral approximant labial-velar	0	0	0	0		
	4205	lateral approximant dental	0	0	0	0		
	4206	lateral approximant alveolar	0	0	0	0		
	4207	lateral approximant postalveolar	0	0	0	0		
	4208	lateral approximant retroflex	0	0	0	0		
	4209	lateral approximant palatal	0	0	0	0		
	4210	lateral approximant velar	0	0	0	0		
	4211	lateral approximant velar-alveolar	0	0	0	0		
	4212	lateral approximant uvular	0	0	0	0		
	4213	lateral approximant pharyngeal	0	0	0	0		
	4214	lateral approximant epiglottal	0	0	0	0		
	4215	lateral approximant glottal	0	0	0	0		
	4216	lateral approximant laryngeal	0	0	0	0		
	4250	lateral approximant aspirated	0	0	0	0		
	4251	lateral approximant breathy-voiced	0	0	0	0		
	4252	lateral approximant creaky-voiced	0	0	0	0		
	4253	lateral approximant ejective	0	0	0	0		
	4254	lateral approximant glottalized	0	0	0	0		
	4255	lateral approximant labialized	0	0	0	0		
	4256	lateral approximant lateral-release	0	0	0	0		
	4257	lateral approximant long	0	0	0	0		
	4258	lateral approximant nasal-release	0	0	0	0		
	4259	lateral approximant palatalized	0	0	0	0		
