							
	Nom	Famille	Code	NbSegment	Selecte	Selecte1	CodeBase
	LAKKIA	Austro-Tai, Li-Kam-Tai	2401	55	FALSE	FALSE	10
	LAME	Afro-Asiatic, Chadic	4376	38	FALSE	FALSE	10
	LAPP	Ural-Altaic, Finno-Ugric	1066	9	FALSE	FALSE	21
	LELEMI	Niger-Kordofanian, Togo-Remnant	4118	34	FALSE	FALSE	10
	LENAKEL	Austro-Tai, Austronesian, East-Malayo-Polynesian	2426	21	FALSE	FALSE	10
	LITHUANIAN	Indo-European, Baltic	2007	52	FALSE	FALSE	10
	LOLO-BURMESE	Sino-Tibetan, Lolo-Burmese	1082	37	FALSE	FALSE	20
	LOWER CROSS	Niger-Kordofanian, Cross-River	1014	14	FALSE	FALSE	22
	LOWER SEPIK	Papuan, Sepik-Ramu	1063	27	FALSE	FALSE	20
	LUA	Niger-Kordofanian, Adamawa	4151	36	FALSE	FALSE	10
	LUE	Austro-Tai, Li-Kam-Tai	2427	31	FALSE	FALSE	10
	LUGBARA	Nilo-Saharan, Central-Sudanic	4215	36	FALSE	FALSE	10
	LUISENO	North-American, Uto-Aztecan	6737	26	FALSE	FALSE	10
	LUNGCHOW	Austro-Tai, Li-Kam-Tai	2406	32	FALSE	FALSE	10
	LUO	Nilo-Saharan, East-Sudanic	4205	32	FALSE	FALSE	10
	LUSHOOTSEED	North-American, Almosan	6734	37	FALSE	FALSE	10
	MAASAI	Nilo-Saharan, East-Sudanic	4204	28	FALSE	FALSE	10
	MABA	Nilo-Saharan, Maban	4202	29	FALSE	FALSE	10
	MAIDU	North-American, Penutian	6708	23	FALSE	FALSE	10
	MAIDUN	North-American, Penutian	1108	29	FALSE	FALSE	20
	MALAGASY	Austro-Tai, Austronesian, West-Malayo-Polynesian	2410	25	FALSE	FALSE	10
	MALAKMALAK	Australian, Daly	8356	19	FALSE	FALSE	10
	MALAYO POLYNESIAN	Austro-Tai, Austronesian	1004	30	FALSE	FALSE	20
	MAMBILA	Niger-Kordofanian, Bantoid	4153	25	FALSE	FALSE	10
	MANCHU	Ural-Altaic, Tungus	2169	25	FALSE	FALSE	10
	MANDARIN	Sino-Tibetan, Sinitic	2500	32	FALSE	FALSE	10
	MANDE	Niger-Kordofanian, Mande	1037	16	FALSE	FALSE	22
	MANDEKAN	Niger-Kordofanian, Mande	1025	23	FALSE	FALSE	20
	MARANAO	Austro-Tai, Austronesian, West-Malayo-Polynesian	2445	17	FALSE	FALSE	10
	MARGI	Afro-Asiatic, Chadic	4368	34	FALSE	FALSE	10
	MARI	Ural-Altaic, Finno-Ugric, Finnic	2151	33	FALSE	FALSE	10
	MARKHAM	Austro-Tai, Austronesian, East-Malayo-Polynesian	1027	23	FALSE	FALSE	20
	MAUNG	Australian, Yiwaidjan	8350	22	FALSE	FALSE	10
	MAXAKALI	South-American, Macro-Ge	6858	20	FALSE	FALSE	10
	MAYAN	North-American, Penutian	1057	32	FALSE	FALSE	20
	MAZAHUA	North-American, Oto-Manguean	6717	60	FALSE	FALSE	10
	MAZATEC	North-American, Oto-Manguean	6727	33	FALSE	FALSE	10
	MBABARAM	Australian, Pama-Nyungan	8373	24	FALSE	FALSE	10
	MBA-NE	Niger-Kordofanian, Ubangi-East	4160	31	FALSE	FALSE	10
	MBUM	Niger-Kordofanian, Adamawa	4146	38	FALSE	FALSE	10
	MICRONESIAN	Austro-Tai, Austronesian, East-Malayo-Polynesian	1107	21	FALSE	FALSE	20
	MIDDLE ENGLISH	Indo-European, Germanic, West	1049	6	FALSE	FALSE	21
	MIEN	Sino-Tibetan, Hmong-Mien	2517	41	FALSE	FALSE	10
	MIXE	North-American, Penutian	6715	23	FALSE	FALSE	10
	MIXTEC	North-American, Oto-Manguean	6728	25	FALSE	FALSE	10
	MIXTECAN	North-American, Oto-Manguean	1070	20	FALSE	FALSE	20
	MOGHOL	Ural-Altaic, Mongolian	2174	29	FALSE	FALSE	10
	MON	Austro-Asiatic, Mon	1020	35	FALSE	FALSE	20
	MONGUOR	Ural-Altaic, Mongolian	2173	28	FALSE	FALSE	10
	MOR	Austro-Tai, Austronesian, East-Malayo-Polynesian	2429	19	FALSE	FALSE	10
	MORO	Niger-Kordofanian, Kordofanian	4101	29	FALSE	FALSE	10
	MOVIMA	South-American, Macro-Tucanoan	6860	23	FALSE	FALSE	10
	MOXO	South-American, Macro-Arawakan	6827	25	FALSE	FALSE	10
	MUINANE	South-American, Macro-Carib	6806	28	FALSE	FALSE	10
	MUMUYE	Niger-Kordofanian, Adamawa	4132	34	FALSE	FALSE	10
	MUNDARI	Austro-Asiatic, Munda	2300	37	FALSE	FALSE	10
	MURINHPATHA	Australian, Ungrouped	8349	25	FALSE	FALSE	10
	MURSI	Nilo-Saharan, East-Sudanic	4214	26	FALSE	FALSE	10
	NAHUATL	North-American, Uto-Aztecan	6762	20	FALSE	FALSE	10
	NAMA	Khoisan, Central-Khoisan	4906	41	FALSE	FALSE	10
	NAMBAKAENGO	Papuan, East-Papuan	8626	47	FALSE	FALSE	10
	NANAI	Ural-Altaic, Tungus	2168	24	FALSE	FALSE	10
	NASIOI	Papuan, East-Papuan	8624	13	FALSE	FALSE	10
	NAVAJO	Na-Dene, Athabaskan	6104	47	FALSE	FALSE	10
	NAXI	Sino-Tibetan, Lolo-Burmese	2525	49	FALSE	FALSE	10
	NDUT	Niger-Kordofanian, West-Atlantic	4149	34	FALSE	FALSE	10
	NENETS	Ural-Altaic, Samoyed	2156	35	FALSE	FALSE	10
